data;valor;descricao;noites;hospedes
22/01/2025;186,58;Reserva 1 noite (HMBE42K8A3);1;
24/01/2025;361,86;Reserva 2 noites (HM93PPEDKY);2;
29/01/2025;186,58;Reserva 1 noite (HM9HBBPKBH);1;
07/02/2025;186,58;Reserva 1 noite (HMEFJKMERN);1;
12/02/2025;1859,09;Reserva 11 noites (HMAA2E4S35);11;
01/03/2025;187,04;Reserva 1 noite (HMSKBS28RB);1;
09/03/2025;361,86;Reserva 2 noites (HMMW44BWSA);2;
11/03/2025;887,72;Reserva 5 noites (HMRFZBC8AE);5;
16/03/2025;289,28;Reserva 1 noite (HMTWSMZBHR);1;
22/03/2025;193,88;Reserva 1 noite (HM3K9HQSHK);1;
23/03/2025;186,58;Reserva 1 noite (HM4BW5DZHK);1;
25/03/2025;636,66;Reserva 2 noites (HMN5SXDRMB);2;
29/03/2025;186,58;Reserva 1 noite (HMNWCMK5NQ);1;
30/03/2025;198,45;Reserva 1 noite (HMWPWKFYX3);1;
01/04/2025;3991,63;Reserva 24 noites (HMPD8XF2CW);24;
25/04/2025;302,41;Reserva 1 noite (HMZYP2QR3K);1;
26/04/2025;237,05;Reserva 1 noite (HMSNWXFSYN);1;
01/05/2025;273,56;Reserva 1 noite (HMXDAD5M5R);1;
02/05/2025;457,29;Reserva 2 noites (HMD4JPXEJC);2;
05/05/2025;209,18;Reserva 1 noite (HMSZQQNTFB);1;
06/05/2025;193,88;Reserva 1 noite (HMEHX3M52X);1;
16/05/2025;391,11;Reserva 2 noites (HMSTT3MM53);2;
19/05/2025;142,29;Reserva 1 noite (HMPW2BDK8T);1;
23/05/2025;203,95;Reserva 1 noite (HMH228DN9F);1;
24/05/2025;257,07;Reserva 1 noite (HMNKEKBJ89);1;
25/05/2025;1668,29;Reserva 13 noites (HMDFTFRWAF);13;
12/06/2025;379,54;Reserva 2 noites (HMBQTFR9HC);2;
14/06/2025;157,78;Reserva 1 noite (HMF2R4FJQY);1;
19/06/2025;771,12;Reserva 3 noites (HM3MSQQ2ZN);3;
22/06/2025;1052,28;Reserva 6 noites (HM4WY5ED4R);6;
30/06/2025;3802,97;Reserva 31 noites (HMNHZD8PJJ);31;
31/07/2025;671,13;Reserva 3 noites (HM8NZ9QHNZ);3;
08/08/2025;385,84;Reserva 2 noites (HMC9PJMXB3);2;
10/08/2025;911,58;Reserva 7 noites (HM4T8SBQA8);7;
17/08/2025;808,73;Reserva 6 noites (HMKHMX3YTW);6;
23/08/2025;369,86;Reserva 2 noites (HM2YHEYX33);2;
25/08/2025;1545,27;Reserva 12 noites (HM39NZRJQN);12;
10/09/2025;276,28;Reserva 2 noites (HMXDEBPMRP);2;
12/09/2025;239,76;Reserva 1 noite (HMHX9NEZ2D);1;
13/09/2025;162,16;Reserva 1 noite (HMASQWPJ43);1;
16/09/2025;394,67;Reserva 3 noites (HMYDZBSDHW);3;
20/09/2025;184,99;Reserva 1 noite (HMBTNMWFYT);1;
21/09/2025;1045,44;Reserva 6 noites (HM4RFBP9TX);6;
27/09/2025;239,76;Reserva 1 noite (HMJN3RBTXN);1;
29/09/2025;911,58;Reserva 7 noites (HM3XA5Z25S);7;
11/10/2025;239,76;Reserva 1 noite (HMBT359PPZ);1;
12/10/2025;394,67;Reserva 3 noites (HM8ARC8EZ5);3;
18/10/2025;292,26;Reserva 2 noites (HM9DYMZBQE);2;
24/10/2025;554,73;Reserva 3 noites (HMJ4BTWSF9);3;
27/10/2025;268,48;Reserva 2 noites (HMMZXHA42H);2;
29/10/2025;538,75;Reserva 3 noites (HM2X4MSF5K);3;
01/11/2025;200,96;Reserva 1 noite (HMYFQY984M);1;
05/11/2025;422,12;Reserva 1 noite (HMJJ3MTE8P);1;
07/11/2025;154,46;Reserva 1 noite (HM8QQ3QABN);1;
08/11/2025;239,76;Reserva 1 noite (HMQC3DJRZA);1;
10/11/2025;691,67;Reserva 4 noites (HMFYSFCYMC);4;
14/11/2025;463,44;Reserva 2 noites (HMJYPYXKTH);2;
19/11/2025;276,28;Reserva 2 noites (HMHBMZAMD8);2;
21/11/2025;463,44;Reserva 2 noites (HM22HRCXDK);2;
23/11/2025;1499,91;Reserva 8 noites (HMDNSTECCR);8;
01/12/2025;536,47;Reserva 4 noites (HMQQX5JZ2R);4;
07/12/2025;1668,29;Reserva 13 noites (HMTMZ5FAZD);13;
20/12/2025;258,02;Reserva 1 noite (HMCRTKKFQP);1;
21/12/2025;27104,64;Reserva 244 noites (HMKSYMCHX9);244;
28/08/2026;527,56;Reserva 4 noites (HMZC839Q4R);4;
02/09/2026;924,14;Reserva 7 noites (HMM95TKDRR);7;
11/09/2026;847,76;Reserva 7 noites (HM9554MQ2X);7;
18/09/2026;107,52;Reserva 1 noite (HMTYDHANE9);1;
19/09/2026;240,96;Reserva 1 noite (HMJQ2TQ82S);1;
21/09/2026;1770,02;Reserva 14 noites (HMPHYA9H33);14;
05/10/2026;532,00;Reserva 4 noites (HMK5CSF22X);4;
09/10/2026;411,00;Reserva 3 noites (HMZTSTWR4R);3;
19/10/2026;532,00;Reserva 4 noites (HM5ZDDEJ3H);4;
26/10/2026;532,00;Reserva 4 noites (HMHBE2SXXF);4;
14/11/2026;247,00;Reserva 1 noite (HMTYXZ8TQK);1;
04/12/2026;404,09;Reserva 2 noites (HMET3SEZHH);2;
18/12/2026;520,49;Reserva 2 noites (HMDAQKFTQD);2;
